source_table,source_column,target_table,target_column,transformation_type,transformation_logic
profile_combined,column1,profile_combined,column1,passthrough,
profile_combined,column2,profile_combined,column2,type_cast,
profile_combined,column3,profile_combined,column3,rename,standardise_column_name
profile_combined,column4,profile_combined,column4,type_cast,
profile_combined,column5,profile_combined,column5,passthrough,
profile_combined,column6,profile_combined,column6,rename,standardise_column_name
profile_combined,column7,profile_combined,column7,type_cast,
profile_combined,column8,profile_combined,column8,passthrough,
profile_combined,column9,profile_combined,column9,rename,standardise_column_name
profile_combined,column10,profile_combined,column10,type_cast,
profile_combined,_load_timestamp,profile_combined,_load_timestamp,type_cast,Inject current UTC ISO timestamp at load time
profile_combined,_source_file,profile_combined,_source_file,type_cast,Inject source file path at load time
